DATE,GEXPND_GDP
1947-01-01,0.21719497951999473606
1947-04-01,0.21323098939699473102
1947-07-01,0.21928000480798124887
1947-10-01,0.19820208281198868121
1948-01-01,0.19986678808769407922
1948-04-01,0.19843928281853635987
1948-07-01,0.20512829696700525795
1948-10-01,0.20821711619811246727
1949-01-01,0.22045637993848033334
1949-04-01,0.22890647169164661269
1949-07-01,0.22751008651869441421
1949-10-01,0.22692118672564082667
1950-01-01,0.24743615309014770607
1950-04-01,0.21812916045360782139
1950-07-01,0.19208315349842448394
1950-10-01,0.19867164668927471909
1951-01-01,0.20496428571428571429
1951-04-01,0.21415327385277107733
1951-07-01,0.22486446490316888883
1951-10-01,0.22939092251626995491
1952-01-01,0.22699683174920793730
1952-04-01,0.23912140265351909814
1952-07-01,0.24131291456917441073
1952-10-01,0.23633971618541432518
1953-01-01,0.23621578431877931852
1953-04-01,0.23741987854468039484
1953-07-01,0.23583292217470108980
1953-10-01,0.24253180298986967899
1954-01-01,0.23838378595803760267
1954-04-01,0.23616690104915298572
1954-07-01,0.23449088993237782484
1954-10-01,0.23220941926381043394
1955-01-01,0.22825505419138989961
1955-04-01,0.22309575548238330661
1955-07-01,0.22337589285506751181
1955-10-01,0.21903855481225920401
1956-01-01,0.21926293815065969901
1956-04-01,0.22375955696060626443
1956-07-01,0.22097293607363622058
1956-10-01,0.22390072600838721026
1957-01-01,0.22704292869625930491
1957-04-01,0.23096658015994915524
1957-07-01,0.22877015161942897662
1957-10-01,0.23944118737154216786
1958-01-01,0.24385079351499336955
1958-04-01,0.25261346927187284153
1958-07-01,0.24835491446790205026
1958-10-01,0.24478786119646485372
1959-01-01,0.24007602923598455901
1959-04-01,0.23622747788685801096
1959-07-01,0.23764556200169893759
1959-10-01,0.23970298902762012864
1960-01-01,0.23443558255075113149
1960-04-01,0.24084793376210541879
1960-07-01,0.24183290445084713455
1960-10-01,0.25088995310969886912
1961-01-01,0.25056236674752026539
1961-04-01,0.25418822957636195088
1961-07-01,0.25020434623298289129
1961-10-01,0.24880126487223825894
1962-01-01,0.25071505169078791205
1962-04-01,0.25220282294467041771
1962-07-01,0.25163744792923794840
1962-10-01,0.25470209707976742667
1963-01-01,0.25393937639140897451
1963-04-01,0.25188328103761480710
1963-07-01,0.25002482760332938161
1963-10-01,0.25144126813245292367
1964-01-01,0.24920949147684011573
1964-04-01,0.24927726714151418796
1964-07-01,0.24515809262879842088
1964-10-01,0.24462548704394975614
1965-01-01,0.24231599771520918374
1965-04-01,0.24363762358067957562
1965-07-01,0.24670802844701150238
1965-10-01,0.24583957909301852545
1966-01-01,0.24392824737914931372
1966-04-01,0.25023820437997915479
1966-07-01,0.25337283044465971563
1966-10-01,0.25763768717703785662
1967-01-01,0.26700072260326711444
1967-04-01,0.27010199261940462883
1967-07-01,0.27085998800323149949
1967-10-01,0.27360032855364920318
1968-01-01,0.27620583975799082239
1968-04-01,0.27712812411702756158
1968-07-01,0.27869692109483869271
1968-10-01,0.28046858051919878516
1969-01-01,0.27404898840977432634
1969-04-01,0.27879724881568254346
1969-07-01,0.28022265028797346683
1969-10-01,0.28578419048554780778
1970-01-01,0.28848268645357686454
1970-04-01,0.29751024710153413749
1970-07-01,0.29834014542488023211
1970-10-01,0.30503450277785943149
1971-01-01,0.30104056182586358175
1971-04-01,0.30621800598648586707
1971-07-01,0.30351158001995457151
1971-10-01,0.30641596173055968384
1972-01-01,0.30866749714978518766
1972-04-01,0.30312018061086460581
1972-07-01,0.30068047662808411193
1972-10-01,0.30283000126419967131
1973-01-01,0.29723337374499996370
1973-04-01,0.29648904049616412061
1973-07-01,0.29549223831423075689
1973-10-01,0.29379139179388317599
1974-01-01,0.29968971485552997601
1974-04-01,0.30425095552058225320
1974-07-01,0.30865831723317431889
1974-10-01,0.31362979697801871500
1975-01-01,0.32421311341512614194
1975-04-01,0.33307382678725043936
1975-07-01,0.32527751459217929373
1975-10-01,0.32306787654434505920
1976-01-01,0.31735354331011427162
1976-04-01,0.31414022972123787744
1976-07-01,0.31666823919540242070
1976-10-01,0.31383987679091834503
1977-01-01,0.31123557311298932742
1977-04-01,0.30667407944612334495
1977-07-01,0.30507728916063598639
1977-10-01,0.30753510421527813073
1978-01-01,0.30831093718789155423
1978-04-01,0.29706647658529451247
1978-07-01,0.29742264576191007047
1978-10-01,0.29436294408968452721
1979-01-01,0.29547892235050126454
1979-04-01,0.29430270445079145292
1979-07-01,0.29581547216281515165
1979-10-01,0.29862552833583527633
1980-01-01,0.30337309424691434139
1980-04-01,0.31340746534579845511
1980-07-01,0.32059529148256789906
1980-10-01,0.31466724634632666534
1981-01-01,0.31184883455188294242
1981-04-01,0.31586336517701639066
1981-07-01,0.31744591271139839214
1981-10-01,0.32345287059507720331
1982-01-01,0.33162182352147114102
1982-04-01,0.33255831681658789450
1982-07-01,0.34001530453711795841
1982-10-01,0.34845282714990267625
1983-01-01,0.34506233494260544312
1983-04-01,0.34199524539740162197
1983-07-01,0.33689961912935100194
1983-10-01,0.32821831256492597846
1984-01-01,0.32410145816818293708
1984-04-01,0.32323864643888506612
1984-07-01,0.32421350309114280468
1984-10-01,0.32777396252330030413
1985-01-01,0.32618397188953251975
1985-04-01,0.32708008382991217231
1985-07-01,0.32696859399836736480
1985-10-01,0.32758600515650659054
1986-01-01,0.32716763082716674349
1986-04-01,0.33106236277154184285
1986-07-01,0.33222764048372398278
1986-10-01,0.33078131846968424049
1987-01-01,0.32918819285089268546
1987-04-01,0.32804671504902042379
1987-07-01,0.32555739468590280998
